id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
1;АЛГЕБРА Л-08;76.0;1;0.0;0.0;16.0;0.0;0.0;11.5;0.0;0.0;11.25
2;АЛГЕБРА Л-04;61.0;1;0.82;37.25;12.0;1.0;0.0;12.0;1.0;0.0;8.0
3;АЛГЕБРА Л-05;0.0;0;0.36;29.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
4;АЛГЕБРА Л-04;100.0;1;0.82;8.0;20.0;0.6;9.0;20.0;1.0;7.0;20.0
5;АЛГЕБРА Л-07;61.0;1;0.73;17.0;17.0;0.8;0.0;15.0;0.88;0.0;11.0
6;АЛГЕБРА Л-08;3.0;0;0.73;19.0;1.0;1.0;0.0;0.0;0.38;0.0;0.0
7;АЛГЕБРА Л-08;3.0;0;0.91;2.0;1.0;1.0;0.0;0.0;0.88;0.0;0.0
8;АЛГЕБРА Л-08;94.0;1;0.91;0.0;20.0;1.0;8.0;11.0;1.0;0.0;20.0
9;АЛГЕБРА Л-01;91.0;1;0.18;36.0;18.75;0.6;0.0;16.0;0.75;17.5;13.5
10;АЛГЕБРА Л-06;76.0;1;1.0;31.25;20.0;1.0;0.0;20.0;0.75;0.0;18.0
11;АЛГЕБРА Л-03;45.0;0;0.64;18.0;9.0;0.6;5.5;2.0;0.62;3.5;4.0
12;АЛГЕБРА Л-01;97.25;1;0.27;19.0;20.0;1.0;0.5;18.5;0.88;25.0;13.75
13;АЛГЕБРА Л-02;81.0;1;1.0;18.5;14.0;1.0;5.0;9.0;1.0;8.0;20.0
14;АЛГЕБРА Л-08;91.0;1;0.91;21.0;19.0;1.0;0.0;17.5;0.62;0.0;19.0
15;АЛГЕБРА Л-06;66.0;1;1.0;50.5;20.0;1.0;0.0;0.0;1.0;3.0;20.0
16;АЛГЕБРА Л-08;61.0;1;0.64;8.0;18.0;1.0;0.5;9.0;1.0;10.0;8.5
17;АЛГЕБРА Л-07;69.0;1;0.64;17.0;1.0;1.0;0.0;20.0;1.0;10.0;7.0
18;АЛГЕБРА Л-06;86.0;1;0.73;37.45;6.0;1.0;4.5;6.0;1.0;17.1;6.0
19;АЛГЕБРА Л-02;77.0;1;1.0;37.95;20.0;1.0;0.0;18.0;0.88;0.0;19.0
20;АЛГЕБРА Л-07;61.0;1;0.82;22.0;1.0;0.8;0.0;20.0;0.88;11.0;7.0
21;АЛГЕБРА Л-05;61.0;1;0.82;20.0;11.0;1.0;0.0;18.0;1.0;0.0;10.0
22;АЛГЕБРА Л-04;61.0;1;0.36;22.75;10.0;0.6;2.7;6.0;0.5;8.55;10.0
23;АЛГЕБРА Л-07;34.0;0;0.82;27.5;0.5;0.8;1.0;2.0;1.0;6.0;8.0
24;АЛГЕБРА Л-05;63.0;1;0.55;12.0;11.0;0.6;0.0;17.0;0.75;0.0;12.0
25;АЛГЕБРА Л-04;27.0;0;0.27;23.95;4.0;0.8;1.0;0.0;0.25;1.05;4.0
26;АЛГЕБРА Л-03;86.0;1;1.0;27.0;8.0;1.0;5.0;14.0;1.0;8.0;20.0
27;АЛГЕБРА Л-05;91.0;1;0.73;26.0;20.0;1.0;3.0;20.0;0.5;0.0;20.0
28;АЛГЕБРА Л-02;46.0;0;1.0;22.0;20.0;1.0;8.0;2.0;1.0;0.0;3.0
29;АЛГЕБРА Л-08;10.0;0;0.64;13.0;0.0;0.6;6.0;4.0;0.38;0.0;0.0
30;АЛГЕБРА Л-02;92.0;1;1.0;4.0;19.0;1.0;5.0;15.0;1.0;8.0;20.0
31;АЛГЕБРА Л-09;99.5;1;0.73;21.0;20.0;0.8;0.0;20.0;0.75;0.0;19.5
32;АЛГЕБРА Л-08;23.0;0;0.64;40.0;5.0;0.6;0.0;1.5;1.0;0.0;1.5
33;АЛГЕБРА Л-09;76.0;1;0.91;15.0;1.0;1.0;0.0;20.0;1.0;6.0;18.0
34;АЛГЕБРА Л-06;91.0;1;0.91;37.0;20.0;1.0;5.0;5.0;1.0;0.0;20.0
35;АЛГЕБРА Л-06;12.0;0;0.55;37.0;4.0;0.4;2.0;4.0;0.75;0.0;0.0
36;АЛГЕБРА Л-06;61.0;1;0.91;10.0;0.0;0.4;0.0;19.0;1.0;3.0;7.0
37;АЛГЕБРА Л-05;66.0;1;0.73;22.0;11.0;1.0;0.0;14.0;0.75;9.0;6.0
38;АЛГЕБРА Л-06;51.0;0;0.55;33.2;4.0;0.8;1.85;0.0;0.5;5.75;6.0
39;АЛГЕБРА Л-02;77.0;1;0.91;27.2;15.0;1.0;3.0;20.0;0.75;1.0;19.0
40;АЛГЕБРА Л-09;24.0;0;0.18;18.0;4.0;0.2;0.0;4.0;0.75;16.0;0.0
41;АЛГЕБРА Л-03;95.0;1;0.91;0.0;20.0;1.0;0.0;20.0;0.75;0.0;20.0
42;АЛГЕБРА Л-09;0.0;0;0.18;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;АЛГЕБРА Л-06;73.0;1;0.55;6.9;10.0;0.8;6.2;8.7;0.25;3.5;4.0
44;АЛГЕБРА Л-09;91.0;1;0.64;34.2;15.0;1.0;1.0;20.0;1.0;20.0;14.5
45;АЛГЕБРА Л-03;61.5;1;0.82;20.0;11.0;1.0;0.0;18.0;1.0;0.0;20.0
46;АЛГЕБРА Л-04;36.0;0;0.55;14.25;6.0;0.8;2.5;6.0;0.62;0.75;3.0
47;АЛГЕБРА Л-07;65.0;1;0.91;20.0;1.0;1.0;5.0;10.0;0.75;6.0;15.0
48;АЛГЕБРА Л-06;73.0;1;0.82;32.35;7.0;1.0;4.55;4.5;0.88;7.4;8.0
49;АЛГЕБРА Л-02;10.6;0;0.55;33.2;0.0;1.0;0.0;0.0;0.75;2.0;0.1
50;АЛГЕБРА Л-08;61.0;1;0.45;8.5;15.0;1.0;0.0;10.5;1.0;10.5;11.0
51;АЛГЕБРА Л-02;92.0;1;0.82;14.0;20.0;1.0;10.0;15.0;0.5;0.0;20.0
52;АЛГЕБРА Л-06;61.0;1;0.91;35.0;14.0;1.0;0.0;16.0;1.0;0.0;9.0
53;АЛГЕБРА Л-03;40.0;0;0.82;18.0;5.0;1.0;3.5;4.0;1.0;6.0;0.0
54;АЛГЕБРА Л-06;84.0;1;1.0;25.5;18.0;1.0;8.0;20.0;1.0;0.0;20.0
55;АЛГЕБРА Л-07;78.0;1;1.0;12.0;1.0;1.0;0.0;20.0;1.0;10.0;10.0
56;АЛГЕБРА Л-04;84.0;1;0.91;39.0;15.0;1.0;5.0;1.0;0.5;4.0;20.0
