Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Доставленные баллы на Контрольная работа 3;Контрольная работа 3;Присутствие на Контрольная работа 3
0;0.55;0.005;0.09090909090909091;0.006473313977838778;0.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;11.5;1.0;1.0;0.12;0.25;0.2108582101868596;0.0;11.25;1.0
0;0.82;0.0;0.0;0.19283711822145166;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;8.0;1.0
1;0.36;0.0;0.0;0.2991570945158391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
0;0.82;0.08;0.36363636363636365;0.0430449991465311;0.0;20.0;1.0;0.6;0.09;0.6000000000000001;0.3241270827295289;0.0;20.0;1.0;1.0;0.07;0.625;0.05166829419137659;0.0;20.0;1.0
0;0.73;0.01;0.09090909090909091;0.16476750259490675;0.0;17.0;1.0;0.8;0.0;0.0;0.0;0.0;15.0;1.0;0.88;0.0;0.0;0.0;0.0;11.0;0.0
1;0.73;0.02;0.18181818181818182;0.17472426643825892;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0
1;0.91;0.02;0.18181818181818182;0.014153108536499362;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.91;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.08;0.4;0.45412077791469985;0.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0
0;0.18;0.01;0.09090909090909091;0.3605919316051942;0.0;18.75;1.0;0.6;0.0;0.0;0.0;0.0;16.0;1.0;0.75;0.175;0.125;0.3225743625073488;0.0;13.5;1.0
0;1.0;0.07;0.6363636363636364;0.17540475823157112;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;0.75;0.0;0.0;0.0;0.0;18.0;1.0
