 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-08.02;0;0.93;0.16;1.0;0.2595542738092201;0.0;12.0;1.0;1.0;0.06;1.0;0.0;0.0;12.0;1.0;0.4;0.1;1.0;0.0;0.0;12.0;0.0
œËŒ¿ œ-04.03;1;1.0;0.035;0.375;0.3296317025332273;0.0;7.38;1.0;1.0;0.012;0.6666666666666666;0.3122498999199199;0.0;4.49;1.0;1.0;0.0;0.0;0.0;0.0;7.5;1.0
œËŒ¿ œ-05.04;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-04.01 ;0;1.0;0.15;1.0;0.25050356444338207;0.0;11.7;1.0;1.0;0.06;1.0;0.0;0.02;11.8;1.0;1.0;0.06;0.6000000000000001;0.9999999999999999;0.04;15.5;1.0
œËŒ¿ œ-07.02;0;0.86;0.16;1.0;0.5022778731152904;0.0;4.48;1.0;0.33;0.06;1.0;0.0;0.0;10.08;1.0;1.0;0.08;0.8;0.816496580927726;0.0;15.0;1.0
œËŒ¿ œ-09.03;1;0.5;0.02;0.25;0.2452557357939863;0.0;1.1;1.0;0.0;0.0;0.0;0.0;0.0;2.71;1.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-09.04;1;0.64;0.02;0.125;0.12241552510928755;0.05;1.0;1.0;0.67;0.0;0.0;0.0;0.03;0.0;0.0;0.8;0.03;0.4;0.8164965809277258;0.06;0.0;1.0
œËŒ¿ œ-08.04;0;1.0;0.14;1.0;0.2668702230608692;0.0;13.94;1.0;1.0;0.06;1.0;0.0;0.0;13.17;1.0;1.0;0.1;1.0;0.0;0.0;14.27;1.0
œËŒ¿ œ-01.04;0;0.71;0.1;0.75;0.45056355688958305;0.0;11.0;1.0;0.33;0.03;0.6666666666666666;0.8660254037844386;0.0;12.0;1.0;1.0;0.06;0.6000000000000001;0.9999999999999999;0.02;14.0;1.0
œËŒ¿ œ-06.02;0;0.86;0.1595;1.0;0.5347891431534778;0.0475;16.1;1.0;0.67;0.047;1.0;0.4444097208657794;0.06;19.5;1.0;1.0;0.07200000000000001;1.0;0.7461009761866463;0.01;17.0;1.0
œËŒ¿ œ-03.02;1;0.43;0.0;0.0;0.16762436122799212;0.01;3.9;1.0;0.67;0.02;0.6666666666666666;0.49999999999999994;0.05;0.0;0.0;0.2;0.0;0.0;0.0;0.0;2.4;1.0
œËŒ¿ œ-01.02;0;0.79;0.16;1.0;0.2596825437818679;0.0311;20.0;1.0;1.0;0.06;1.0;0.0;0.05;16.0;1.0;1.0;0.08;0.8;0.8164965809277259;0.066;10.6;1.0
œËŒ¿ œ-02.03;1;1.0;0.11;0.875;0.29083752537355545;0.0;5.25;1.0;1.0;0.06;1.0;0.0;0.0;10.0;1.0;1.0;0.1;1.0;0.0;0.0;11.93;1.0
