 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-04;1;0.22;0.04800000000000001;0.375;0.7332121111929345;0.0;1.0;1.0;0.25;0.025;0.6666666666666666;0.7133207767983806;0.0;0.0;0.0;0.29;0.09300000000000001;0.8333333333333333;0.8013929939714638;0.0;0.0;0.0
œËŒ¿ œ-30;0;0.67;0.16;1.0;0.8;0.03;9.1;1.0;0.75;0.06;1.0;0.82065180664829;0.04;13.04;1.0;0.71;0.06;0.5;0.8852384057490701;0.0;11.0;1.0
œËŒ¿ œ-04;1;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.75;0.0;0.0;0.0;0.0;0.0;1.0;0.14;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-02;1;0.89;0.02;0.25;0.45825756949558405;0.05;1.9;1.0;1.0;0.035;0.6666666666666666;0.6860490254392339;0.0;1.7;1.0;1.0;0.02;0.3333333333333333;0.5729958340731716;0.0;5.7;1.0
œËŒ¿ œ-02;1;0.44;0.02;0.125;0.6000000000000001;0.0;3.8;1.0;0.25;0.0;0.0;0.4988876515698589;0.0;0.0;0.0;0.14;0.0;0.0;0.382956996767225;0.0;0.0;0.0
œËŒ¿ œ-02;1;1.0;0.02;0.25;0.4000000000000001;0.0;2.0;1.0;0.25;0.0;0.0;0.339934634239519;0.0;2.3;1.0;0.86;0.0;0.0;0.2645655653756834;0.0;3.0;1.0
œËŒ¿ œ-02;1;0.78;0.106;0.875;0.7631513611335565;0.065;0.0;0.0;0.5;0.05;1.0;0.7872711847688487;0.03;7.6;0.0;0.86;0.06;0.6666666666666666;0.7623242404966448;0.157;4.6;1.0
œËŒ¿ œ-04;0;0.78;0.11999999999999998;1.0;0.66332495807108;0.0;19.0;1.0;0.75;0.045;1.0;0.6867923073749355;0.0;15.0;1.0;0.71;0.07300000000000001;0.6666666666666666;0.7251780024807994;0.0;16.5;1.0
œËŒ¿ œ-23 —œ;0;1.0;0.16;1.0;0.8;0.0;9.4;1.0;1.0;0.05;1.0;0.8793937305515279;0.0;13.3;0.0;0.86;0.08;0.6666666666666666;0.8850292037124139;0.0;8.7;1.0
œËŒ¿ œ-33;1;0.89;0.149;1.0;0.8005623023850174;0.0;4.22;1.0;0.75;0.035;0.6666666666666666;0.9051457832243869;0.0;8.99;0.0;0.43;0.075;0.8333333333333333;0.8279595969306279;0.06;0.0;0.0
œËŒ¿ œ-04;0;1.0;0.14800000000000002;1.0;0.795989949685296;0.006;11.5;1.0;1.0;0.057999999999999996;1.0;0.8092576593296313;0.01;15.5;1.0;1.0;0.1;0.8333333333333333;0.7906696025400894;0.015;11.5;1.0
œËŒ¿ œ-04;0;1.0;0.11800000000000001;0.75;0.9651942809610923;0.0;12.5;1.0;0.75;0.06;1.0;0.9490059245852784;0.0;16.0;1.0;1.0;0.037000000000000005;0.3333333333333333;0.9190101142993946;0.0;9.0;1.0
