Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;0.3;0.04800000000000001;3.0;0.3;0.01;0.2;0.025;2.0;0.12;0.0;0.25;0.09300000000000001;5.0;0.26;0.0
0.0;0;0.7;0.16;8.0;1.0;0.091;0.8;0.09;4.0;0.43;0.1304;0.75;0.1;4.0;0.28;0.11
1.0;1;1.0;0.0;0.0;0.0;0.03;0.8;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.0
1.0;1;0.9;0.02;2.0;0.12;0.019;1.0;0.085;3.0;0.4;0.017;1.0;0.02;2.0;0.06;0.057
1.0;1;0.5;0.02;1.0;0.12;0.038;0.2;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.0
1.0;1;1.0;0.02;2.0;0.12;0.02;0.4;0.0;0.0;0.0;0.023;0.88;0.0;0.0;0.0;0.03
1.0;0;0.7;0.106;7.0;0.66;0.0;0.4;0.115;4.0;0.55;0.076;0.88;0.09;5.0;0.25;0.046
1.0;0;0.8;0.11999999999999998;8.0;0.75;0.19;0.8;0.045;3.0;0.21;0.15;0.75;0.07300000000000001;4.0;0.21;0.165
1.0;0;1.0;0.16;8.0;1.0;0.094;0.8;0.05;3.0;0.24;0.133;0.88;0.08;4.0;0.23;0.087
1.0;1;0.9;0.149;8.0;0.93;0.042199999999999994;0.6;0.035;2.0;0.17;0.08990000000000001;0.38;0.075;5.0;0.21;0.0
1.0;0;1.0;0.14800000000000002;8.0;0.92;0.115;1.0;0.064;4.0;0.3;0.155;1.0;0.11;6.0;0.31;0.115
1.0;0;1.0;0.11800000000000001;6.0;0.74;0.125;0.8;0.06;3.0;0.29;0.16;1.0;0.037000000000000005;2.0;0.1;0.09
1.0;0;1.0;0.13;7.0;0.81;0.14;1.0;0.065;4.0;0.31;0.122;1.0;0.1;5.0;0.28;0.122
1.0;1;0.6;0.06;4.0;0.38;0.0968;0.8;0.019;3.0;0.09;0.0833;0.75;0.01;1.0;0.03;0.06
1.0;0;0.7;0.06;5.0;0.38;0.07;0.0;0.085;4.0;0.4;0.13;0.62;0.09699999999999999;5.0;0.27;0.115
1.0;0;1.0;0.124;8.0;0.78;0.13;1.0;0.057;3.0;0.27;0.16;0.62;0.098;5.0;0.28;0.16
1.0;0;0.4;0.145;8.0;0.91;0.085;0.2;0.06199999999999999;4.0;0.3;0.14;0.38;0.1;6.0;0.28;0.17
1.0;0;1.0;0.07;5.0;0.44;0.03;1.0;0.09;4.0;0.43;0.095;1.0;0.06;4.0;0.17;0.083
0.0;1;1.0;0.085;6.0;0.53;0.064;0.4;0.05;1.0;0.24;0.043;0.5;0.01;1.0;0.03;0.023
1.0;1;1.0;0.0;0.0;0.0;0.015;0.8;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0
1.0;0;1.0;0.095;6.0;0.59;0.115;0.4;0.016;1.0;0.08;0.155;1.0;0.016;1.0;0.05;0.145
1.0;0;1.0;0.16;8.0;1.0;0.16;1.0;0.0;0.0;0.0;0.16399999999999998;1.0;0.17;3.0;0.48;0.19
1.0;1;0.8;0.02;1.0;0.12;0.038;0.8;0.0;0.0;0.0;0.10099999999999999;0.62;0.02;1.0;0.06;0.0
1.0;1;1.0;0.0;0.0;0.0;0.0;0.4;0.05;1.0;0.24;0.023;0.88;0.02;2.0;0.06;0.0
1.0;1;0.7;0.05;5.0;0.31;0.0217;0.8;0.0;0.0;0.0;0.045;0.62;0.0;0.0;0.0;0.0416
1.0;0;0.9;0.045;3.0;0.28;0.1;0.8;0.09;3.0;0.43;0.12;0.75;0.05;4.0;0.14;0.11
1.0;1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1;0.7;0.0;0.0;0.0;0.02;0.8;0.0;0.0;0.0;0.02;0.5;0.0;0.0;0.0;0.0
1.0;0;0.9;0.124;8.0;0.78;0.083;0.6;0.057999999999999996;3.0;0.28;0.04;0.75;0.09300000000000001;5.0;0.26;0.04
0.0;0;0.6;0.15;8.0;0.94;0.09699999999999999;0.8;0.06;3.0;0.29;0.15539999999999998;0.62;0.1;5.0;0.28;0.07
1.0;0;1.0;0.15;8.0;0.94;0.15;1.0;0.06;3.0;0.29;0.17;1.0;0.04;2.0;0.11;0.16670000000000001
1.0;1;0.7;0.13199999999999998;8.0;0.82;0.06;0.8;0.052000000000000005;3.0;0.25;0.0433;0.88;0.07400000000000001;4.0;0.21;0.0
1.0;0;1.0;0.078;6.0;0.49;0.11199999999999999;1.0;0.08;4.0;0.38;0.138;0.75;0.08;4.0;0.23;0.163
1.0;0;1.0;0.11900000000000001;7.0;0.74;0.14400000000000002;1.0;0.12;4.0;0.57;0.16699999999999998;0.75;0.09;4.0;0.25;0.153
1.0;1;0.9;0.098;6.0;0.61;0.025;0.8;0.046;3.0;0.22;0.041100000000000005;0.75;0.043;3.0;0.12;0.0966
1.0;1;0.5;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0
0.0;0;0.8;0.15;8.0;0.94;0.16;0.8;0.06;3.0;0.29;0.15;0.75;0.06;3.0;0.17;0.1183
1.0;0;1.0;0.15500000000000003;8.0;0.97;0.18;1.0;0.071;4.0;0.34;0.16;0.75;0.098;5.0;0.28;0.14
1.0;0;1.0;0.10400000000000001;7.0;0.65;0.087;0.6;0.075;4.0;0.36;0.177;0.62;0.125;6.0;0.35;0.17300000000000001
1.0;0;0.8;0.16;8.0;1.0;0.0683;0.6;0.065;4.0;0.31;0.07780000000000001;0.62;0.1;5.0;0.28;0.0382
0.0;0;1.0;0.15;8.0;0.94;0.11;1.0;0.09;4.0;0.43;0.18;0.5;0.08;4.0;0.23;0.15689999999999998
1.0;0;1.0;0.14;8.0;0.88;0.16;1.0;0.09;4.0;0.43;0.17;0.62;0.07;3.0;0.2;0.16670000000000001
0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1;0.7;0.02;2.0;0.12;0.08;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1;0.4;0.07;4.0;0.44;0.09;0.0;0.06;3.0;0.29;0.0;0.12;0.04;2.0;0.11;0.0
1.0;1;0.6;0.06;3.0;0.38;0.03;0.4;0.0;0.0;0.0;0.04;0.62;0.04;2.0;0.11;0.0017000000000000001
1.0;1;1.0;0.1;7.0;0.62;0.0983;1.0;0.07;4.0;0.33;0.16;0.88;0.05;2.0;0.14;0.08990000000000001
1.0;1;0.4;0.02;2.0;0.12;0.02;0.6;0.0;0.0;0.0;0.05;0.38;0.0;0.0;0.0;0.0
1.0;1;0.5;0.02;2.0;0.12;0.0;0.8;0.0;0.0;0.0;0.12119999999999999;0.75;0.0;0.0;0.0;0.1353
1.0;1;1.0;0.04;4.0;0.25;0.04;1.0;0.0;0.0;0.0;0.1;0.88;0.0;0.0;0.0;0.0
0.0;0;0.3;0.11699999999999999;8.0;0.73;0.09300000000000001;0.2;0.05;1.0;0.24;0.05;0.5;0.03;3.0;0.08;0.077
1.0;0;0.8;0.09;5.0;0.56;0.1383;0.6;0.06;3.0;0.29;0.18;0.88;0.04;2.0;0.11;0.12
1.0;0;0.9;0.14;8.0;0.88;0.16;0.8;0.06;3.0;0.29;0.15;0.62;0.06;3.0;0.17;0.1233
1.0;0;0.8;0.16;8.0;1.0;0.1433;0.6;0.06;3.0;0.29;0.10779999999999999;0.75;0.1;5.0;0.28;0.046
1.0;0;0.7;0.155;8.0;0.97;0.0567;0.8;0.065;4.0;0.31;0.0449;0.5;0.11;6.0;0.31;0.0983
1.0;0;0.9;0.15;8.0;0.94;0.13;0.6;0.09;4.0;0.43;0.16;0.75;0.06;3.0;0.17;0.1783
1.0;0;0.9;0.16;8.0;1.0;0.1099;0.8;0.065;4.0;0.31;0.1371;0.88;0.1;5.0;0.28;0.16329999999999997
1.0;1;0.9;0.06;5.0;0.38;0.08;0.8;0.0;0.0;0.0;0.14;0.62;0.0;0.0;0.0;0.0834
1.0;1;0.7;0.01;1.0;0.06;0.026000000000000002;0.2;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
1.0;0;1.0;0.13;8.0;0.81;0.08;0.8;0.21;4.0;1.0;0.157;0.88;0.115;6.0;0.33;0.18
0.0;0;1.0;0.111;8.0;0.69;0.145;0.4;0.12;4.0;0.57;0.166;0.88;0.115;6.0;0.33;0.15
1.0;1;0.7;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.62;0.0;0.0;0.0;0.04
1.0;0;0.8;0.11;6.0;0.69;0.14;0.8;0.08;4.0;0.38;0.15;0.75;0.05;3.0;0.14;0.149
1.0;1;0.7;0.1;7.0;0.62;0.1;0.8;0.06;3.0;0.29;0.11;0.62;0.04;2.0;0.11;0.0932
1.0;1;0.7;0.005;1.0;0.03;0.061200000000000004;0.6;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.05
1.0;1;0.8;0.09;6.0;0.56;0.19;0.2;0.02;1.0;0.1;0.0;0.25;0.04;2.0;0.11;0.1434
0.0;0;1.0;0.155;8.0;0.97;0.0983;1.0;0.06;3.0;0.29;0.16010000000000002;1.0;0.06;3.0;0.17;0.1467
0.0;1;0.9;0.13;8.0;0.81;0.02;0.8;0.06;3.0;0.29;0.026699999999999998;0.75;0.091;5.0;0.26;0.08
1.0;1;0.9;0.04;4.0;0.25;0.08;0.8;0.04;2.0;0.19;0.06;0.62;0.0;0.0;0.0;0.1183
0.0;0;0.9;0.128;8.0;0.8;0.10099999999999999;0.8;0.1;4.0;0.48;0.1;0.5;0.09;6.0;0.25;0.152
