Команды;Направление;Пол;Баллы;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Контрольная работа 3
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;02.03.03 Математическое обеспечение и администрирование информационных систем;1;22.6;1;0.3;0.04800000000000001;0.3;0.7332121111929345;1.0;0.2;0.025;0.13333333333333333;0.19305908082707357;0.0;0.25;0.09300000000000001;0.21739130434782608;0.19100686895031926;0.0
ПиОА АТ-30, ПиОА К-30, ПиОА Л-05, ПиОА П-30;40.03.01 Юриспруденция;0;76.14;0;0.7;0.16;0.8;0.8;9.1;0.8;0.09;0.26666666666666666;0.23928714161048123;13.04;0.75;0.1;0.17391304347826086;0.2481166942224171;11.0
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;10.05.01 Компьютерная безопасность;1;3.0;1;1.0;0.0;0.0;0.0;3.0;0.8;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;10.03.01 Информационная безопасность;1;22.8;1;0.9;0.02;0.2;0.45825756949558405;1.9;1.0;0.085;0.2;0.3652098599877428;1.7;1.0;0.02;0.08695652173913043;0.2535028005012438;5.7
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;10.05.01 Компьютерная безопасность;1;5.8;1;0.5;0.02;0.1;0.6000000000000001;3.8;0.2;0.0;0.0;0.13733742953775466;0.0;0.12;0.0;0.0;0.09214822688200784;0.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;02.03.03 Математическое обеспечение и администрирование информационных систем;1;9.3;1;1.0;0.02;0.2;0.4000000000000001;2.0;0.4;0.0;0.0;0.0935796841842155;2.3;0.88;0.0;0.0;0.06366053616778214;3.0
ПиОА АТ-02, ПиОА К-02, ПиОА Л-01, ПиОА П-02;09.03.02 Информационные системы и технологии;1;61.0;1;0.7;0.106;0.7;0.7631513611335565;0.0;0.4;0.115;0.26666666666666666;0.42498588330724724;7.6;0.88;0.09;0.21739130434782608;0.3169234123544464;4.6
ПиОА АТ-04, ПиОА К-04, ПиОА Л-01, ПиОА П-04;02.03.03 Математическое обеспечение и администрирование информационных систем;1;79.3;0;0.8;0.11999999999999998;0.8;0.66332495807108;19.0;0.8;0.045;0.2;0.19978095111166083;15.0;0.75;0.07300000000000001;0.17391304347826086;0.18167567922510117;16.5
ПиОА АТ-23, ПиОА К-23, ПиОА Л-01, ПиОА П-23 СП;16.03.01 Техническая физика;1;68.4;1;1.0;0.16;0.8;0.8;9.4;0.8;0.05;0.2;0.24208591679012886;13.3;0.88;0.08;0.17391304347826086;0.21295830223586598;8.7
ПиОА АТ-33, ПиОА К-33, ПиОА Л-05, ПиОА П-33;38.03.01 Экономика;1;49.11;1;0.9;0.149;0.8;0.8005623023850174;4.22;0.6;0.035;0.13333333333333333;0.2491751295783834;8.99;0.38;0.075;0.21739130434782608;0.19922604739214128;0.0
